Project Plant Pals: Salesforce Sales Cloud Implementation Project ,,,,,,,,,,,,,,,,,,,,,,,,,
"Description: Implement Salesforce Sales Cloud to enhance sales processes, improve customer relationship management, and provide actionable insights through advanced reporting and analytics.",,,,,,,,,,,,,,,,,,,,,,,,,
Owner: Devendrappa,,,,,,,,,,,,,,,,,,,,,,,,,
Status: Draft,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Key Docs,Description,,,,,,,,,,,,,,,,,,,,,,,,
Project charter ,"An overview of the project, key elements and expectations",,,,,,,,,,,,,,,,,,,,,,,,
Statement of work,Identifies the work that is included in the project and the pricing that was quoted initially.,,,,,,,,,,,,,,,,,,,,,,,,
Risk management plan,"Identifies the potential risks to the project, their likelihood, and how you plan to mitigate them if they become realized. ",,,,,,,,,,,,,,,,,,,,,,,,
Schedule,Identifies the planned schedule as well as any changes through out the project lifecycle.        ,,,,,,,,,,,,,,,,,,,,,,,,
Budget,Identifies the planned budget as well as any over and under runs.  Allows you to estimate the cost at completion. ,,,,,,,,,,,,,,,,,,,,,,,,
Communication plan,"Identifies how often, what type of communication method, and what information your stakeholders needs to know",,,,,,,,,,,,,,,,,,,,,,,,
Shared folder,Folder with all relevant documentation,,,,,,,,,,,,,,,,,,,,,,,,
RACI chart,"Identifies who is responsible, accountable, consulted and informed within the project.",,,,,,,,,,,,,,,,,,,,,,,,
